char,charLabel,father,fatherLabel,mother,motherLabel,spouse,spouseLabel
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q113904,Rādhā
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q1585773,Rukmiṇī
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q2668668,Satyabhāmā
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q3351664,Jāmbavatī
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q4253412,Lalita
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q14589610,Bhadra
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q14589858,Lakshmana
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q14589966,Mitravinda
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q14590081,Nagnajiti
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q14590114,Rohini
http://www.wikidata.org/entity/Q42891,Krishna,http://www.wikidata.org/entity/Q890382,Vasudeva,http://www.wikidata.org/entity/Q379581,Devakī,http://www.wikidata.org/entity/Q32133357,Kalindi
http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q128335,Indra,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q128335,Indra,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q1982348,Subhadrā
http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q1982348,Subhadrā
http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q128335,Indra,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q2367305,Chitrangada
http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q2367305,Chitrangada
http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q128335,Indra,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q2723089,Ulūpī
http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q2723089,Ulūpī
http://www.wikidata.org/entity/Q236221,Pāṇḍava,http://www.wikidata.org/entity/Q857071,Pāṇḍu,,,,
http://www.wikidata.org/entity/Q249381,Mārkaṇḍeya,,,,,,
http://www.wikidata.org/entity/Q320606,Abhimanyu,http://www.wikidata.org/entity/Q185790,Arjuna,http://www.wikidata.org/entity/Q1982348,Subhadrā,http://www.wikidata.org/entity/Q2389445,Uttarā
http://www.wikidata.org/entity/Q379581,Devakī,,,,,http://www.wikidata.org/entity/Q890382,Vasudeva
http://www.wikidata.org/entity/Q384956,Duṣyanta,,,,,http://www.wikidata.org/entity/Q955123,Śakuntalā
http://www.wikidata.org/entity/Q580113,Gangā,,,,,http://www.wikidata.org/entity/Q1973947,Śāntanu
http://www.wikidata.org/entity/Q616654,Janamejaya,http://www.wikidata.org/entity/Q2046277,Parīkṣit,,,,
http://www.wikidata.org/entity/Q721272,Lanka,,,,,,
http://www.wikidata.org/entity/Q757727,Atri,http://www.wikidata.org/entity/Q11389,God Brahma,,,http://www.wikidata.org/entity/Q2479214,Anasuya
http://www.wikidata.org/entity/Q797498,Vritra,,,,,,
http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q4211174,Shurasena,,,http://www.wikidata.org/entity/Q857071,Pāṇḍu
http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q330521,Vyāsa,http://www.wikidata.org/entity/Q1994807,Ambalika,http://www.wikidata.org/entity/Q844424,Kuntī
http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q330521,Vyāsa,http://www.wikidata.org/entity/Q1994807,Ambalika,http://www.wikidata.org/entity/Q1770690,Mādrī
http://www.wikidata.org/entity/Q890382,Vasudeva,,,,,http://www.wikidata.org/entity/Q379581,Devakī
http://www.wikidata.org/entity/Q890529,Droṇa,http://www.wikidata.org/entity/Q690753,Bharadwaja,,,http://www.wikidata.org/entity/Q106948922,Kripi
http://www.wikidata.org/entity/Q926150,Dhṛtarāṣṭra,http://www.wikidata.org/entity/Q330521,Vyāsa,http://www.wikidata.org/entity/Q2044636,Ambika,http://www.wikidata.org/entity/Q1849082,Gāndhārī
http://www.wikidata.org/entity/Q955123,Śakuntalā,http://www.wikidata.org/entity/Q2773345,Viśvāmitra,http://www.wikidata.org/entity/Q2367292,Menakā,http://www.wikidata.org/entity/Q384956,Duṣyanta
http://www.wikidata.org/entity/Q983067,Yudhiṣṭhira,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q1057886,Draupadī
http://www.wikidata.org/entity/Q983067,Yudhiṣṭhira,http://www.wikidata.org/entity/Q857071,Pāṇḍu,http://www.wikidata.org/entity/Q844424,Kuntī,http://www.wikidata.org/entity/Q65050457,Devika
